model,user_id,n_folds,total_n_test,avg_n_test,total_n_train,avg_n_train,accuracy_top1,f1_macro_top1,recall@1,recall@3,recall@5,mrr@1,mrr@3,mrr@5,accuracy_top1_w,f1_macro_top1_w,recall@1_w,recall@3_w,recall@5_w,mrr@1_w,mrr@3_w,mrr@5_w
baseline,0,41,12577,306.7560975609756,302416,7376.0,0.16832659458124638,0.01609559432117804,0.16832659458124638,0.3690979912476441,0.47468815288401967,0.16832659458124638,0.2564237486598695,0.2811423937330412,0.1940844398505208,0.016412158701108875,0.1940844398505208,0.4157589250218653,0.536693965174525,0.1940844398505208,0.29119291829000027,0.31930375553258594
baseline,1,34,30719,903.5,746047,21942.558823529413,0.10488184537269882,0.004643360055930957,0.10488184537269882,0.21411877537569582,0.2835288426066799,0.10488184537269882,0.15042945067049174,0.16633349581111578,0.10273771932680101,0.0030525663496295723,0.10273771932680101,0.20124353006282755,0.2736417201080764,0.10273771932680101,0.14457935913712458,0.16115053658430722
baseline,10,38,3162,83.21052631578948,41272,1086.1052631578948,0.03687101688059145,0.005560725558000177,0.03687101688059145,0.08897785720116082,0.15241919113859914,0.03687101688059145,0.056854707670370125,0.07163033425491876,0.06704617330803289,0.0035473806731646336,0.06704617330803289,0.16698292220113853,0.2346616065781151,0.06704617330803289,0.11053130929791274,0.12628083491461103
baseline,11,6,3325,554.1666666666666,35327,5887.833333333333,0.1210791492626268,0.006953744258973736,0.1210791492626268,0.395423079255305,0.5373701002615004,0.1210791492626268,0.2375903327254233,0.27078808053699016,0.11639097744360902,0.006769563922784602,0.11639097744360902,0.3825563909774436,0.5227067669172932,0.11639097744360902,0.22897243107769422,0.2617543859649124
baseline,12,39,9662,247.74358974358975,317351,8137.205128205128,0.10654799964528237,0.010126813166070657,0.10654799964528237,0.24494631713237097,0.3351066418828658,0.10654799964528237,0.16355666547797698,0.18413611953529446,0.11260608569654317,0.005590089207571986,0.11260608569654317,0.26785344649140963,0.37135168702132065,0.11260608569654317,0.17874146139515623,0.20218898778720765
baseline,13,11,3617,328.8181818181818,80237,7294.272727272727,0.017742976105556276,0.0008990835881616709,0.017742976105556276,0.07877806470584668,0.11848753690925254,0.017742976105556276,0.04173892884629509,0.050882154210378644,0.017694221730716064,0.0004101664040143572,0.017694221730716064,0.07271219242466131,0.10312413602432956,0.017694221730716064,0.03962768408441618,0.04665007833379412
baseline,14,21,6237,297.0,95792,4561.523809523809,0.17152313258095014,0.00918298893943194,0.17152313258095014,0.34612284592140774,0.41833768242976127,0.17152313258095014,0.24284336677756618,0.2592052494167324,0.17139650472983806,0.00844681417782665,0.17139650472983806,0.3259579926246593,0.40051306717973384,0.17139650472983806,0.24058040724707389,0.25739939073272405
baseline,15,31,10574,341.0967741935484,333427,10755.709677419354,0.05114097047292936,0.009342467786482029,0.05114097047292936,0.13557319324687808,0.1928087194014341,0.05114097047292936,0.09064861050349246,0.10430236598866341,0.008606014753168148,0.0011473359577612852,0.008606014753168148,0.03007376584074144,0.07508984301115945,0.008606014753168148,0.01848874598070739,0.02880650652543975
baseline,16,41,3133,76.41463414634147,51226,1249.4146341463415,0.26828579492548826,0.06905367048051697,0.26828579492548826,0.4479967908743214,0.6224800583919525,0.26828579492548826,0.3432489805554445,0.38373786269860205,0.30450047877433767,0.06144954005854486,0.30450047877433767,0.4877114586658155,0.6594318544526013,0.30450047877433767,0.3814767528460475,0.4206564528141293
baseline,17,12,97762,8146.833333333333,1192459,99371.58333333333,0.1687944331240929,0.001623968062426794,0.1687944331240929,0.2984472548840214,0.31619827963600905,0.1687944331240929,0.23163727273051624,0.23557832205329432,0.1562979480779853,0.001492258239439642,0.1562979480779853,0.2812237883840347,0.29748777643665225,0.1562979480779853,0.217090144091433,0.2206912365404419
baseline,18,43,97182,2260.046511627907,2393826,55670.37209302326,0.10716619624587408,0.004627681120128822,0.10716619624587408,0.2812320665241313,0.3875155008611659,0.10716619624587408,0.18066630164533334,0.2046729768547346,0.10686135292543887,0.004073048905289423,0.10686135292543887,0.2649667633923978,0.3689469243275504,0.10686135292543887,0.17446131999753026,0.19775730073470382
baseline,19,21,28879,1375.1904761904761,557344,26540.190476190477,0.05510993242953323,0.001089444929603868,0.05510993242953323,0.15471118516711976,0.2215681154567682,0.05510993242953323,0.09734129123455672,0.1125315958370385,0.053256691713701995,0.00100431690942827,0.053256691713701995,0.14699262439835176,0.21565843692648637,0.053256691713701995,0.09261054745662942,0.10817549084109558
baseline,2,27,92399,3422.185185185185,1702582,63058.59259259259,0.1020623924832828,0.0014142262847569767,0.1020623924832828,0.1808146735740914,0.24808801160240926,0.1020623924832828,0.13574877101851943,0.15107186487398325,0.10382146992932824,0.0014217593432887452,0.10382146992932824,0.18226387731468954,0.24727540341345686,0.10382146992932824,0.13737522411858713,0.15216975652694656
baseline,21,43,8782,204.2325581395349,165008,3837.3953488372094,0.08764875024568036,0.004083486007780015,0.08764875024568036,0.17161208854336796,0.20589976129951848,0.08764875024568036,0.1249382336477682,0.13256872012817292,0.08722386700068321,0.00406885717332405,0.08722386700068321,0.17478934183557276,0.2113413800956502,0.08722386700068321,0.12607226903514762,0.13414560085022395
baseline,22,33,6083,184.33333333333334,186861,5662.454545454545,0.10520815411450449,0.014580251716933548,0.10520815411450449,0.21258954407311884,0.24554726508482658,0.10520815411450449,0.14899900339312921,0.15630155650788657,0.06148282097649186,0.0025903762087758305,0.06148282097649186,0.13973368403748151,0.17672201216505015,0.06148282097649186,0.09329278316620089,0.1016439256945586
baseline,23,9,2084,231.55555555555554,24503,2722.5555555555557,0.09116505283959209,0.027984441536254148,0.09116505283959209,0.1327737842445314,0.1680943776511938,0.09116505283959209,0.1092661819792067,0.1175441855038441,0.03262955854126679,0.0018272200647007925,0.03262955854126679,0.08877159309021113,0.13099808061420345,0.03262955854126679,0.05694177863083814,0.06682661548304542
baseline,25,6,11342,1890.3333333333333,74970,12495.0,0.05017829696338441,0.004631772502453549,0.05017829696338441,0.13654920085422667,0.19156879687561326,0.05017829696338441,0.08355219424107645,0.09582934848528162,0.05422324105096103,0.005238243093800836,0.05422324105096103,0.14741668136131195,0.2026979368718039,0.05422324105096103,0.0901663433844704,0.10254952095456375
baseline,26,24,3324,138.5,104475,4353.125,0.037889699238109885,0.003581432584508011,0.037889699238109885,0.09173031248439954,0.1400172936923971,0.037889699238109885,0.06214394273107745,0.07306396416604156,0.036702767749699154,0.0030491923010369988,0.036702767749699154,0.08694344163658244,0.1266546329723225,0.036702767749699154,0.05916566385880465,0.06819093461692739
baseline,27,1,192,192.0,2122,2122.0,0.015625,0.002838813510069964,0.015625,0.2552083333333333,0.3958333333333333,0.015625,0.11284722222222222,0.1451388888888889,0.015625,0.002838813510069964,0.015625,0.2552083333333333,0.3958333333333333,0.015625,0.11284722222222222,0.1451388888888889
baseline,28,37,822,22.216216216216218,15999,432.4054054054054,0.2554630239223923,0.1141898333092974,0.2554630239223923,0.5037954333759053,0.5875578818723676,0.2554630239223923,0.3688120187809473,0.3869199575726157,0.23479318734793186,0.09795676656617025,0.23479318734793186,0.4464720194647202,0.5085158150851582,0.23479318734793186,0.3313057583130576,0.344809407948094
baseline,29,3,10847,3615.6666666666665,191474,63824.666666666664,0.06025708881370357,0.0006197564558661859,0.06025708881370357,0.1646188730716599,0.19872533256408653,0.06025708881370357,0.10468058081641803,0.11223727678549522,0.05964782889278141,0.000597048837385831,0.05964782889278141,0.16446943855443902,0.19507697981008573,0.05964782889278141,0.10416090470483366,0.11105221105682028
baseline,3,19,13570,714.2105263157895,198012,10421.684210526315,0.16443182751916444,0.011376753922884827,0.16443182751916444,0.3236251597258691,0.4893573201403654,0.16443182751916444,0.23105504200527252,0.2686473270672067,0.1264554163596168,0.005228076098940555,0.1264554163596168,0.3620486366985999,0.4984524686809138,0.1264554163596168,0.2218128224023596,0.25386145910095953
baseline,4,10,2499,249.9,57326,5732.6,0.029587390372870948,0.000886282356920015,0.029587390372870948,0.09293119227394922,0.12269889205861566,0.029587390372870948,0.055278992680182396,0.06231317308545076,0.03201280512204882,0.0007410841528543775,0.03201280512204882,0.08723489395758303,0.1292517006802721,0.03201280512204882,0.05575563558756835,0.06571962118180606
baseline,5,40,1257,31.425,28249,706.225,0.27720011779310666,0.12606384915596358,0.27720011779310666,0.47664638395856346,0.5620009973199234,0.27720011779310666,0.36592469529951593,0.3851580812499186,0.17979315831344472,0.06279168339205089,0.17979315831344472,0.3166268894192522,0.3914081145584726,0.17979315831344472,0.23959162025987799,0.2565765049058605
baseline,6,23,45525,1979.3478260869565,638048,27741.217391304348,0.07038204518922753,0.0012526724185234108,0.07038204518922753,0.1582565479946562,0.20754980870872647,0.07038204518922753,0.10966893919125564,0.1208034599407919,0.07338824821526634,0.0011647067913918483,0.07338824821526634,0.16041735310269084,0.21179571663920924,0.07338824821526634,0.1122789676002196,0.12392531576057098
baseline,7,21,22581,1075.2857142857142,271663,12936.333333333334,0.03589980424510697,0.0004922211623968797,0.03589980424510697,0.08664582029918094,0.12551040883619605,0.03589980424510697,0.05816213564004098,0.06707205760110313,0.03724370045613569,0.0004264858689569081,0.03724370045613569,0.08697577609494708,0.12315663611000399,0.03724370045613569,0.05903931033464711,0.06733168002598058
baseline,8,19,9584,504.42105263157896,93517,4921.9473684210525,0.08353786877098376,0.004875237425773947,0.08353786877098376,0.23397384369141586,0.3241292419201745,0.08353786877098376,0.14551129497298163,0.1662784444953279,0.0925500834724541,0.004339072666774829,0.0925500834724541,0.25970367278797996,0.35799248747913187,0.0925500834724541,0.1601279910962715,0.18244643850862527
baseline,9,10,1625,162.5,7430,743.0,0.23102065210859912,0.12946454925131506,0.23102065210859912,0.334004327893572,0.37064126803692954,0.23102065210859912,0.28128921767977644,0.29005427770582504,0.06461538461538462,0.009504908274384171,0.06461538461538462,0.11692307692307692,0.14523076923076922,0.06461538461538462,0.08943589743589744,0.0958974358974359
